City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nikolskoye,RU,59.7035,30.7861,69.8,52,0,4.47,clear sky
80,Amazar,RU,53.858,120.875,55.17,68,12,1.83,few clouds
81,Chapais,CA,49.7834,-74.8492,73.18,34,46,8.01,scattered clouds
82,Rognan,NO,67.0953,15.3878,68.76,49,52,5.53,broken clouds
83,Aksarka,RU,66.5606,67.7975,36.73,57,71,8.03,broken clouds
84,Margate,GB,51.3813,1.3862,66.11,82,49,8.1,scattered clouds
85,Nyzhni Sirohozy,UA,46.8484,34.3804,59.86,76,97,7.14,overcast clouds
86,Igarka,RU,67.4667,86.5833,30.0,96,93,6.87,overcast clouds
87,Bethel,US,41.3712,-73.414,94.35,46,1,1.99,clear sky
88,Tierralta,CO,8.1736,-76.0592,86.81,67,98,3.33,overcast clouds
89,Ntungamo,UG,-0.8833,29.65,65.32,93,97,3.02,light rain
90,Korla,CN,41.7597,86.1469,75.43,36,83,10.76,broken clouds
91,Antequera,ES,37.0194,-4.5612,69.94,43,0,5.75,clear sky
92,Hilo,US,19.7297,-155.09,78.24,76,14,1.99,few clouds
93,Luanda,AO,-8.8368,13.2343,77.0,78,0,11.5,clear sky
94,Port Elizabeth,ZA,-33.918,25.5701,64.09,76,0,3.44,clear sky
95,Kahului,US,20.8947,-156.47,78.8,57,40,12.66,scattered clouds
96,Qaanaaq,GL,77.484,-69.3632,40.08,86,79,5.37,broken clouds
97,Yellowknife,CA,62.456,-114.3525,46.92,61,75,18.41,broken clouds
98,Cooma,AU,-36.2333,149.1333,37.17,93,83,2.35,broken clouds
99,Caravelas,BR,-17.7125,-39.2481,79.12,66,14,7.83,few clouds
100,Gazli,UZ,40.1333,63.45,95.0,15,21,12.77,few clouds
101,Chernyshevskiy,RU,63.0128,112.4714,40.75,77,83,13.02,broken clouds
102,East London,ZA,-33.0153,27.9116,59.94,63,0,4.61,clear sky
103,Barrow,US,71.2906,-156.7887,30.22,93,90,13.8,overcast clouds
104,Saskylakh,RU,71.9167,114.0833,35.2,72,71,5.32,broken clouds
105,Valle Del Guamuez,CO,0.4525,-76.9192,72.82,82,98,3.8,overcast clouds
106,Georgetown,MY,5.4112,100.3354,82.33,88,20,3.44,few clouds
107,Provideniya,RU,64.3833,-173.3,38.39,62,9,3.6,clear sky
108,Kruisfontein,ZA,-34.0033,24.7314,63.0,34,0,1.99,clear sky
109,Hithadhoo,MV,-0.6,73.0833,83.28,71,82,12.21,broken clouds
110,Padang,ID,-0.9492,100.3543,76.41,82,84,4.21,broken clouds
111,Ahipara,NZ,-35.1667,173.1667,60.78,89,100,17.05,moderate rain
112,Lulea,SE,65.5842,22.1547,69.87,35,0,4.61,clear sky
113,Ossora,RU,59.2353,163.0719,39.09,97,100,6.62,overcast clouds
114,Sitka,US,57.0531,-135.33,51.69,76,90,3.44,overcast clouds
115,Port Alfred,ZA,-33.5906,26.891,65.19,41,0,9.51,clear sky
116,Athni,IN,16.7333,75.0667,75.74,81,83,13.47,broken clouds
117,Pahrump,US,36.2083,-115.9839,99.68,11,1,4.0,clear sky
118,New Norfolk,AU,-42.7826,147.0587,52.75,81,100,1.99,overcast clouds
119,Huadian,CN,42.9633,126.7478,50.58,92,6,1.12,clear sky
120,Saint George,US,37.1041,-113.5841,100.87,12,1,3.0,clear sky
121,Bathsheba,BB,13.2167,-59.5167,86.61,54,75,18.61,broken clouds
122,Port Blair,IN,11.6667,92.75,83.95,78,96,12.46,overcast clouds
123,Shimoda,JP,34.6667,138.95,68.16,90,100,8.14,overcast clouds
124,Iqaluit,CA,63.7506,-68.5145,37.13,81,75,5.01,broken clouds
125,Castro,BR,-24.7911,-50.0119,73.92,48,88,6.08,overcast clouds
126,Daru,PG,-9.0763,143.2092,76.96,89,97,18.32,overcast clouds
127,Komarno,SK,47.7636,18.1226,71.76,72,7,3.18,clear sky
128,Thompson,CA,55.7435,-97.8558,62.76,72,75,6.91,broken clouds
129,Kutum,SD,14.2,24.6667,85.84,12,9,10.4,clear sky
130,Deputatskiy,RU,69.3,139.9,35.17,80,24,3.2,few clouds
131,Cabo San Lucas,MX,22.8909,-109.9124,93.61,40,1,8.05,clear sky
132,Ucar,AZ,40.519,47.6542,73.36,61,81,7.92,broken clouds
133,Gazanjyk,TM,39.2446,55.5154,79.09,41,0,11.14,clear sky
134,Ostrovnoy,RU,68.0531,39.5131,41.49,76,19,11.39,few clouds
135,Aykhal,RU,66.0,111.5,38.39,87,100,14.83,light rain
136,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,65,40,7.23,scattered clouds
137,Acari,PE,-15.4311,-74.6158,76.08,51,24,9.19,few clouds
138,Cherskiy,RU,68.75,161.3,60.85,48,53,15.66,broken clouds
139,Luderitz,NA,-26.6481,15.1594,66.49,39,0,5.23,clear sky
140,Sterling,US,39.0062,-77.4286,95.32,45,40,5.75,scattered clouds
141,Beringovskiy,RU,63.05,179.3167,34.77,99,100,5.3,light rain
142,Bereda,ES,43.2686,-7.5406,64.0,78,90,11.99,overcast clouds
143,Souillac,MU,-20.5167,57.5167,75.58,78,20,8.68,light rain
144,Tazovskiy,RU,67.4667,78.7,31.8,91,83,9.06,broken clouds
145,San Alberto,CO,7.7611,-73.3922,84.54,80,100,3.31,overcast clouds
146,Konosha,RU,60.9736,40.257,62.37,70,73,5.23,broken clouds
147,Puranpur,IN,28.5167,80.15,89.47,32,8,6.33,clear sky
